Lat	Lon	MeanFitness
37.5700	-7.7600	 0.055
37.7300	-7.7600	 0.000
37.9000	-7.7600	 0.000
38.0700	-7.7600	 0.000
38.2300	-7.7600	 0.000
38.4000	-7.7600	 0.000
38.5600	-7.7600	 0.000
38.7300	-7.7600	 0.050
38.9000	-7.7600	 0.050
39.0600	-7.7600	 0.050
39.2300	-7.7600	 0.100
39.4000	-7.7600	 0.200
39.5600	-7.7600	 0.349
39.7300	-7.7600	 0.448
39.8900	-7.7600	 0.690
40.0600	-7.7600	 0.957
40.2300	-7.7600	 0.920
40.3900	-7.7600	 0.963
40.5600	-7.7600	 0.988
40.7200	-7.7600	 0.977
40.8900	-7.7600	 0.947
41.0500	-7.7600	 0.820
41.2200	-7.7600	 0.852
41.3900	-7.7600	 0.812
41.5500	-7.7600	 0.937
41.7200	-7.7600	 0.730
41.8800	-7.7600	 0.622
42.0500	-7.7600	 0.561
42.2200	-7.7600	 0.728
42.3800	-7.7600	 0.943
42.5500	-7.7600	 0.931
42.7200	-7.7600	 0.658
42.8800	-7.7600	 0.739
43.0500	-7.7600	 0.788
43.2100	-7.7600	 0.784
43.3800	-7.7600	 0.829
43.5500	-7.7600	 0.899
43.7100	-7.7600	 0.977
43.8800	-7.7600	 0.979
52.0100	-7.7600	 0.919
52.1800	-7.7600	 0.733
52.3400	-7.7600	 0.356
52.5100	-7.7600	 0.729
52.6700	-7.7600	 0.685
52.8400	-7.7600	 0.475
53.0100	-7.7600	 0.294
53.1700	-7.7600	 0.734
53.3400	-7.7600	 0.494
53.5100	-7.7600	 0.688
53.6700	-7.7600	 0.440
53.8400	-7.7600	 0.493
54.0000	-7.7600	 0.429
54.1700	-7.7600	 0.030
54.3400	-7.7600	 0.031
54.5000	-7.7600	 0.029
54.6700	-7.7600	 0.000
54.8300	-7.7600	 0.000
55.0000	-7.7600	 0.000
55.1600	-7.7600	 0.045
37.2400	-7.6000	 0.000
37.4000	-7.6000	 0.000
37.5700	-7.6000	 0.000
37.7300	-7.6000	 0.000
37.9000	-7.6000	 0.000
38.0700	-7.6000	 0.000
38.2300	-7.6000	 0.000
38.4000	-7.6000	 0.050
38.5600	-7.6000	 0.000
38.7300	-7.6000	 0.000
38.9000	-7.6000	 0.050
39.0600	-7.6000	 0.050
39.2300	-7.6000	 0.048
39.4000	-7.6000	 0.150
39.5600	-7.6000	 0.249
39.7300	-7.6000	 0.349
39.8900	-7.6000	 0.349
40.0600	-7.6000	 0.974
40.2300	-7.6000	 0.970
40.3900	-7.6000	 0.885
40.5600	-7.6000	 0.958
40.7200	-7.6000	 0.980
40.8900	-7.6000	 0.945
41.0500	-7.6000	 0.822
41.2200	-7.6000	 0.943
41.3900	-7.6000	 0.949
41.5500	-7.6000	 0.756
41.7200	-7.6000	 0.883
41.8800	-7.6000	 0.715
42.0500	-7.6000	 0.674
42.2200	-7.6000	 0.890
42.3800	-7.6000	 0.943
