ID,Lat,Long,PSS,LMA,LA,LM,HV,LWC,Nmass,Delta13C,Wdens,RW10M,FO_tree,FO_branch,FW_mean,DBH,Height,Comp20,Martin1,Martin2,Martin3,Martin4,Martin5,Martin6,Martin7,Martin8,Martin9,Martin10,Martin11,Martin12,Martin13,Martin14,Martin15,Martin16,Martin17,Martin18,Martin19,Martin21,Martin22,Martin23,Martin24,Martin25,Martin26,Martin27,Martin28,Martin29,Martin30
257_2_104,213545.72,831659.65,38.5,113.23,72.29,1.3,16.38,0.5149,2.19,-27.01,0.6649,0.2234,0,0,0,15.06,1314,70.9,0,0,0,4.477339209,6.658878778,11.18872683,13.95008862,19.41737495,24.61923581,27.5486016,31.85347944,36.32905191,38.80331578,41.57531047,45.64992907,52.49498898,55.40729712,61.34587695,65.65092705,76.45804631,82.24834278,84.93681654,87.22034881,89.13128704,93.37205738,94.94147531,96.63696429,100.6894036,103.5767608
257_2_107,213545.72,831663.39,56,89.49,96.1,0.86,10.52,0.5326,2.11,-27.96,0.6823,0.173,3,3,0.62,17.6,1215,60.6,0,2.38089285,3.258857665,5.874605595,9.046396206,13.02042653,15.41753105,19.20061947,21.49286686,26.34213854,28.88078103,30.6566562,35.99149508,37.39252004,40.29588063,44.70213181,49.668217,55.96348964,57.84080444,67.81833367,72.32802649,76.3423424,78.6246235,79.03298797,81.47229073,84.5438706,86.7856914,88.57930069,91.34565137
257_2_110,213548.13,831665.87,47,87.78,108.22,0.95,7.09,0.574,2.14,-27.52,0.6517,0.2004,3,3,0.55,14.26,1086,72.8,0,1.559406722,3.99745773,7.274215049,11.78852902,18.15952398,21.31237418,23.65267824,26.47057301,31.2665814,33.08336126,36.00825849,38.53580668,45.60181329,48.98988986,52.04028309,57.2489931,61.82756466,65.66819998,76.2178283,76.74117071,79.57942254,83.41611797,87.7602904,89.86432057,91.95142767,92.98565764,98.38293923,100.7786086
257_2_111,213549.54,831667.72,54,92.95,78.54,0.73,15.2,0.535,1.93,-27.32,0.5046,0.4773,2,2,0.35,17.54,1109,56.2,0,0.665833177,1.389287186,3.677766196,7.823939151,14.05958338,16.16775308,17.61100817,20.41620227,24.35392723,28.35576769,30.17559133,32.59859726,35.61097748,38.59432975,43.02178997,44.83221559,49.85647653,54.71657599,57.76028271,60.87474175,64.52914995,65.78174786,67.52910329,71.04547467,74.76896462,76.15524703,78.33710169,81.52301206
257_2_114,213560.29,831667.8,53.5,102.87,73.88,0.76,9.85,0.5529,2.14,-27.17,0.7018,0.3626,4,3,0.5,22.63,1086,36.1,0,0,1.465369613,2.565957792,3.652230032,4.393564628,7.258378058,12.32710608,14.0288709,14.66070332,16.57179387,17.88976259,22.17385571,23.54333953,24.15638327,27.61645457,30.79925832,32.61815786,32.9286382,37.22617546,38.9247403,39.3099589,40.49828387,40.91078488,42.67685051,43.60383243,45.46833259,47.25717421,47.43100986
257_2_117,213563.64,831673.27,48,103.2,90.12,0.93,10.39,0.5441,2.33,-26.5,0.6801,0.6388,NA,1,0.2,18.97,1016,28.6,0,0,1.348946801,1.348946801,1.681226894,3.783939289,5.554255813,7.794637145,7.794637145,7.794637145,10.90645432,13.24743957,14.18416784,17.38665322,19.97698246,21.37549781,22.8904497,24.51728771,27.76361734,29.48104925,33.06274439,35.04406636,35.43567803,36.48174175,38.12079238,38.91494486,40.79723456,41.19939488,41.78697909
257_2_118,213536.62,831666.38,44.5,109.6,69.34,0.76,15.49,0.5394,2.15,-27.21,NA,0.2858,2,2,0.45,19.03,1192,62,0,0,1.591922612,2.950634717,2.950634717,6.748604887,8.180707909,12.39004969,16.24228234,20.6256505,21.46628786,26.2468518,28.60956449,34.10838116,38.86435682,42.6511179,48.29146701,54.23045383,60.05323983,65.81447018,68.24096953,71.25592042,74.8577366,78.02429066,80.55395673,83.81640356,87.14721625,88.59968133,89.84823188
257_2_119,213534.49,831665.42,37.5,118.44,192.51,2.28,NA,0.527,2.27,-27.28,NA,NA,0,0,0,10.12,1047,103,0,2.132329282,6.376167614,9.591846808,9.591846808,11.12881041,18.92091462,22.45341672,26.50244136,36.86103879,39.12538038,46.23328808,56.78492465,63.15932975,68.15744594,73.70825834,86.60969038,89.14293049,97.0523909,108.3542237,114.449515,120.3965742,125.7305774,129.0197846,131.893836,133.7401044,137.0109619,141.1514899,144.3435302
257_2_120,213541.5,831668.22,46,95.62,79.59,0.76,8.89,0.5581,2.11,-26.05,0.6619,0.2346,3,2,0.25,15.47,1282,65.4,0,0,2.728131425,2.728131425,6.701756996,7.667859167,12.93047651,15.0963436,19.415872,22.77117311,25.40437198,33.38121328,35.89007566,39.70548814,42.53797246,49.15444401,54.00513286,59.42254219,61.36599737,65.85802155,73.91623723,78.18624091,81.93914314,86.47247583,90.96292206,93.08835734,96.15906284,99.06393493,101.7471281
257_2_121,213538.23,831675.58,40.5,98.63,112.03,1.11,9,0.5488,2.67,-26.9,0.7359,0.4791,1,2,0.34,18.84,1161,45.5,0,0,0,1.009037187,1.612759541,2.316474745,4.990217574,4.990217574,8.827004069,12.1824061,16.11256389,18.67523906,22.48766867,26.09421527,30.47199645,32.00754536,34.51359726,37.31483164,41.11802311,47.64329528,51.27355447,56.32208781,58.37516947,61.13606828,63.96783226,64.95316149,67.20520597,70.14997043,71.92572867
