year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
1992,BEPA,131,166,144,145,3.64871189064741,3.47341135090502,NA,NA
1993,BEPA,116,140,NA,NA,0.0108682855682678,0.176515948367345,NA,NA
1994,BEPA,122,140,134,135,6.0085839431606,1.64412446025785,NA,NA
1995,BEPA,127,142,134,134,5.45747880527534,2.7083135415677,NA,NA
1996,BEPA,116,142,108,132,5.4785286070591,4.10579729137867,NA,NA
1997,BEPA,132,148,134,141,0.388777927758669,1.03400202750053,NA,NA
1998,BEPA,118,136,123,120,5.47239619148174,7.39150924269121,NA,NA
1999,BEPA,124,139,125,NA,0,1.84651556672168,2.3094010767585,3.66654090349281
2000,BEPA,125,145,124,124,2.78008837088326,2.79089446447271,4.50924975282289,2.37912825354252
2001,BEPA,121,134,NA,NA,3.9172368937001,2.54635761881734,NA,NA
2002,BEPA,114,NA,109,110,0.0318016311962937,1.64412446025785,6.36396103067893,5.36220845161077
2003,BEPA,125,NA,122,126,4.47171386487877,4.08283035283778,NA,NA
2004,BEPA,121,NA,NA,NA,0.108918123635509,NA,NA,NA
2005,BEPA,127,NA,NA,NA,4.22064248516556,1.32555607086047,0,0.589379984552819
2006,BEPA,126,NA,NA,NA,0.241493426182349,3.2017872143212,NA,NA
2007,BEPA,127,NA,NA,NA,4.31725601708568,2.38473302921048,NA,NA
2008,BEPA,124,NA,NA,NA,4.49804957875754,2.11903042064532,2.88675134594813,NA
2009,BEPA,119,NA,NA,NA,1.32698582857097,1.99541455468771,NA,NA
2010,BEPA,110,NA,NA,NA,5.80440876343163,2.04172384596735,6.35085296108588,6.38805509065422
2011,BEPA,125,NA,NA,NA,0.636600036275469,0.905113774518038,3.75277674973257,2.65995440795941
2012,BEPA,116,NA,NA,NA,2.47296646671131,1.17385062224788,NA,NA
2013,BEPA,125,NA,NA,NA,2.29282737607246,1.71368013664969,2.3094010767585,1.07184478320495
