"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo"
2088,115.447645529193,271.462295959708,22,1951,48.6333,10.0167,"48.6333 10.0167","1950-1960",119
2076,108.392984134136,382.437860948983,22,1952,48.6333,10.0167,"48.6333 10.0167","1950-1960",110
1860,102.49735604982,381.951221439651,22,1953,48.6333,10.0167,"48.6333 10.0167","1950-1960",110
2232,116.303460309516,217.995015231562,22,1954,48.6333,10.0167,"48.6333 10.0167","1950-1960",130
1716,100.555393294151,234.74640721705,22,1955,48.6333,10.0167,"48.6333 10.0167","1950-1960",123
1944,99.5491791783592,282.663722517737,22,1956,48.6333,10.0167,"48.6333 10.0167","1950-1960",127
2628,123.136154542731,239.461940347115,22,1957,48.6333,10.0167,"48.6333 10.0167","1950-1960",122
1968,104.458546661809,321.177535381176,22,1958,48.6333,10.0167,"48.6333 10.0167","1950-1960",125
2292,109.462986133355,370.394070471441,22,1959,48.6333,10.0167,"48.6333 10.0167","1950-1960",104
2388,113.3769927674,324.939829873542,22,1960,48.6333,10.0167,"48.6333 10.0167","1950-1960",105
3048,133.917464077607,273.864334861413,23,1951,50.6167,8.35,"50.6167 8.35","1950-1960",119
2340,121.28642942541,432.556419046094,23,1952,50.6167,8.35,"50.6167 8.35","1950-1960",118
2448,114.604749359378,425.062685389194,23,1953,50.6167,8.35,"50.6167 8.35","1950-1960",102
2604,120.903348667298,285.173429133058,23,1954,50.6167,8.35,"50.6167 8.35","1950-1960",126
1752,104.170067168658,254.933440540005,23,1955,50.6167,8.35,"50.6167 8.35","1950-1960",124
2160,105.666785975544,337.911367403061,23,1956,50.6167,8.35,"50.6167 8.35","1950-1960",126
2916,135.96538736384,288.4229091154,23,1957,50.6167,8.35,"50.6167 8.35","1950-1960",114
2256,114.086830999924,308.780034863436,23,1958,50.6167,8.35,"50.6167 8.35","1950-1960",127
2676,121.178745008626,427.967546655537,23,1959,50.6167,8.35,"50.6167 8.35","1950-1960",109
2772,124.968354657383,212.020715904883,24,1951,54.1167,10.1667,"54.1167 10.1667","1950-1960",120
2352,123.605846792868,350.026546335955,24,1952,54.1167,10.1667,"54.1167 10.1667","1950-1960",117
2676,128.103402109391,344.618014407561,24,1953,54.1167,10.1667,"54.1167 10.1667","1950-1960",109
2268,115.481682620689,263.626826364122,24,1954,54.1167,10.1667,"54.1167 10.1667","1950-1960",126
1776,100.515698983096,177.311560819907,24,1955,54.1167,10.1667,"54.1167 10.1667","1950-1960",128
2184,105.741755717251,245.836384453649,24,1956,54.1167,10.1667,"54.1167 10.1667","1950-1960",129
3120,141.419637432015,208.228954617087,24,1957,54.1167,10.1667,"54.1167 10.1667","1950-1960",120
2124,107.370399870204,226.942252912874,24,1958,54.1167,10.1667,"54.1167 10.1667","1950-1960",131
2640,121.506107183038,362.739909580613,24,1959,54.1167,10.1667,"54.1167 10.1667","1950-1960",106
2628,123.328927951155,269.763943729283,24,1960,54.1167,10.1667,"54.1167 10.1667","1950-1960",126
3132,135.444292787911,400.106272650211,25,1951,50.1167,8.91667,"50.1167 8.91667","1950-1960",120
2652,130.091072407248,587.238930363444,25,1952,50.1167,8.91667,"50.1167 8.91667","1950-1960",108
2304,108.109446104133,580.182076355362,25,1953,50.1167,8.91667,"50.1167 8.91667","1950-1960",94
2556,121.365084076167,412.308059632473,25,1954,50.1167,8.91667,"50.1167 8.91667","1950-1960",115
1740,104.713685344982,372.761868635728,25,1955,50.1167,8.91667,"50.1167 8.91667","1950-1960",119
2136,106.843965453498,457.34598219753,25,1956,50.1167,8.91667,"50.1167 8.91667","1950-1960",121
2808,135.734481118653,432.495398169146,25,1957,50.1167,8.91667,"50.1167 8.91667","1950-1960",102
2316,113.43583134039,431.781496790808,25,1958,50.1167,8.91667,"50.1167 8.91667","1950-1960",115
2652,122.391815767721,588.712532277854,25,1959,50.1167,8.91667,"50.1167 8.91667","1950-1960",95
2736,130.090082848814,527.47317375927,25,1960,50.1167,8.91667,"50.1167 8.91667","1950-1960",100
2568,128.069471349412,308.02409523491,26,1951,49.95,11.1667,"49.95 11.1667","1950-1960",121
2124,111.999252184228,406.875649143231,26,1952,49.95,11.1667,"49.95 11.1667","1950-1960",111
2100,107.590406782215,440.914427688353,26,1953,49.95,11.1667,"49.95 11.1667","1950-1960",116
2232,112.857671757037,265.118994859441,26,1954,49.95,11.1667,"49.95 11.1667","1950-1960",119
