"Lat","Lon","MeanFitness","pres"
52.34,-6.6,0.799,1
52.51,-6.6,0.998,1
52.67,-6.6,0.99,1
52.84,-6.6,0.948,1
53.01,-6.6,0.948,1
53.17,-6.6,0.948,1
53.34,-6.6,0.947,1
53.51,-6.6,0.948,1
53.67,-6.6,0.941,1
53.84,-6.6,0.948,1
54,-6.6,0.998,1
54.17,-6.6,0.997,1
54.34,-6.6,0.997,1
54.5,-6.6,0.997,1
54.67,-6.6,0.997,1
54.83,-6.6,0.897,1
55,-6.6,0.64,1
55.16,-6.6,0.889,1
57.49,-6.6,0.089,0
57.99,-6.6,0.031,0
58.15,-6.6,0.104,1
58.32,-6.6,0.126,1
61.47,-6.6,0,0
61.64,-6.6,0,0
61.8,-6.6,0,0
61.97,-6.6,0,0
62.14,-6.6,0,0
62.3,-6.6,0,0
34.25,-6.43,0.05,0
34.41,-6.43,0,0
34.58,-6.43,0,0
37.24,-6.43,0,0
37.4,-6.43,0,0
37.57,-6.43,0,0
37.73,-6.43,0,0
37.9,-6.43,0,0
38.07,-6.43,0,0
38.23,-6.43,0,0
38.4,-6.43,0,0
38.56,-6.43,0,0
38.73,-6.43,0,0
38.9,-6.43,0,0
39.06,-6.43,0,0
39.23,-6.43,0,0
39.4,-6.43,0,0
39.56,-6.43,0,0
39.73,-6.43,0,0
39.89,-6.43,0,0
40.06,-6.43,0,0
40.23,-6.43,0,0
40.39,-6.43,0,0
40.56,-6.43,0,0
40.72,-6.43,0,0
40.89,-6.43,0,0
41.05,-6.43,0,0
41.22,-6.43,0,0
41.39,-6.43,0,0
41.55,-6.43,0,0
41.72,-6.43,0,0
41.88,-6.43,0,0
42.05,-6.43,0,0
