"","lon","lat","minforce","minchill","minphoto","maxforce","maxchill","maxphoto","species"
"94",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Corylus_heterophylla"
"95",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Corylus_sieboldiana"
"96",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Decaisnea_fargesii"
"97",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Amelanchier_alnifolia"
"98",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Acer_barbinerve"
"99",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Acer_campestre"
"100",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Acer_ginnala"
"101",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Acer_platanoides"
"102",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Alnus_maximowiczii"
"103",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Amelanchier_florida"
"104",11.50293,48.16447,15.3333333333333,1650,8,16.6666666666667,2223.5,16,"Amelanchier_laevis"
"105",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Aronia_melanocarpa"
"106",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Aesculus_parviflora"
"107",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Berberis_dielsiana"
"108",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Deutzia_gracilis"
"109",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Deutzia_scabra"
"110",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Elaeagnus_ebbingei"
"111",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Eleutherococcus_senticosus"
"112",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Eleutherococcus_setchuenensis"
"113",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Eleutherococcus_sieboldianus"
"114",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Fagus_orientalis"
"115",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Forsythia_ovata"
"116",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Forsythia_suspensa"
"117",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Fraxinus_latifolia"
"118",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Fraxinus_ornus"
"119",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Hibiscus_syriacus"
"120",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Hydrangea_arborescens"
"121",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Hydrangea_involucrata"
"122",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Hydrangea_serrata"
"123",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Larix_gmelinii"
"124",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Lonicera_alpigena"
"125",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1067.5,16,"Lonicera_caerulea"
"126",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Lonicera_maximowiczii"
"127",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Pyrus_elaeagnifolia"
"128",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Pyrus_pyrifolia"
"129",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Pyrus_ussuriensis"
"130",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Quercus_shumardii"
"131",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Rhamnus_alpina"
"132",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Rhamnus_cathartica"
"133",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Rhododendron_canadense"
"134",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Rhododendron_dauricum"
"135",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Rhododendron_mucronulatum"
"136",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Ribes_alpinum"
"137",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Ribes_divaricatum"
"138",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Ribes_glaciale"
"139",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Rosa_hugonis"
"140",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Rosa_majalis"
"141",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Salix_gracilistyla"
"142",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Spiraea_canescens"
"143",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Spiraea_chamaedryfolia"
"144",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Spiraea_japonica"
"145",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Stachyurus_praecox"
"146",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Stachyurus_sinensis"
