"datasetID","genus","species","study","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp","wein","gen.spa"
"laube14a","Juglans","cinerea","exp1",1,1,"3","1","3","0","3","35",1,"Juglans_cinerea"
"laube14a","Juglans","regia","exp1",1,1,"3","1","3","0","3","35",1,"Juglans_regia"
"laube14a","Larix","decidua","exp1",1,1,"3","1","3","0","3","35",1,"Larix_decidua"
"laube14a","Picea","abies","exp1",1,1,"3","1","3","0","3","35",1,"Picea_abies"
"laube14a","Pinus","nigra","exp1",1,1,"3","1","3","0","3","35",1,"Pinus_nigra"
"laube14a","Pinus","strobus","exp1",1,1,"3","1","3","0","3","35",1,"Pinus_strobus"
"laube14a","Pinus","sylvestris","exp1",1,1,"3","1","3","0","3","35",1,"Pinus_sylvestris"
"laube14a","Pinus","wallichiana","exp1",1,1,"3","1","3","0","3","35",1,"Pinus_wallichiana"
"laube14a","Populus","tremula","exp1",1,1,"3","1","3","0","3","35",1,"Populus_tremula"
"laube14a","Prunus","avium","exp1",1,1,"3","1","3","0","3","35",1,"Prunus_avium"
"laube14a","Prunus","serotina","exp1",1,1,"3","1","3","0","3","35",1,"Prunus_serotina"
"laube14a","Quercus","rubra","exp1",1,1,"3","1","3","0","3","35",1,"Quercus_rubra"
"laube14a","Robinia","pseudoacacia","exp1",1,1,"3","1","3","0","3","35",1,"Robinia_pseudoacacia"
"laube14a","Abies","alba","exp1",1,1,"3","1","3","0","3","35",1,"Abies_alba"
"laube14a","Abies","homolepis","exp1",1,1,"3","1","3","0","3","35",1,"Abies_homolepis"
"laube14a","Acer","negundo","exp1",1,1,"3","1","3","0","3","35",1,"Acer_negundo"
"laube14a","Pseudotsuga","menziesii","exp1",1,1,"3","1","3","0","3","35",1,"Pseudotsuga_menziesii"
"laube14a","Quercus","bicolor","exp1",1,1,"3","1","3","0","3","35",1,"Quercus_bicolor"
"laube14a","Quercus","robur","exp1",1,1,"3","1","3","0","3","35",1,"Quercus_robur"
"laube14a","Symphoricarpos","albus","exp1",1,1,"3","1","3","0","3","35",1,"Symphoricarpos_albus"
"laube14a","Syringa","vulgaris","exp1",1,1,"3","1","3","0","3","35",1,"Syringa_vulgaris"
"laube14b","Syringa","vulgaris","exp1",1,1,"1","1","1","0","0","9",0,"Syringa_vulgaris"
"laube14b","Robinia","pseudoacacia","exp1",1,1,"1","1","1","0","0","9",0,"Robinia_pseudoacacia"
"laube14b","Quercus","robur","exp1",1,1,"1","1","1","0","0","9",0,"Quercus_robur"
"laube14b","Symphoricarpos","albus","exp1",1,1,"1","1","1","0","0","9",0,"Symphoricarpos_albus"
"laube14b","Picea","abies","exp1",1,1,"1","1","1","0","0","9",0,"Picea_abies"
