"","uniqueid","trayloc","substrate","germdate","doy","daysfromstart","sp","strat","temp","individual","location","origin","germinated","treatment","uniqind"
"2529","5c12Soil","5c12","Soil",2015-12-01,335,8,"DACGLO",60,11.3,"EU06","Europe--Bois de Boulogne, Paris, France","Europe",1,"11.3_60","DACGLO_EU06"
"2551","5c3Soil","5c3","Soil",2015-12-03,337,10,"PLALAN",30,11.3,"US03","USA--Walden","USA",1,"11.3_30","PLALAN_US03"
"2553","5c4Soil","5c4","Soil",2015-12-01,335,8,"PLALAN",30,11.3,"US25","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US25"
"2555","5c5Soil","5c5","Soil",2015-12-01,335,8,"PLALAN",30,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US27"
"2557","5c8Soil","5c8","Soil",2015-12-03,337,10,"DACGLO",60,11.3,"US22","USA--Arnold Arboretum ","USA",1,"11.3_60","DACGLO_US22"
"2558","5c9Soil","5c9","Soil",NA,NA,NA,"CAPBUR",60,11.3,"EU13","Europe--Copenhagen, Denmark","Europe",0,"11.3_60","CAPBUR_EU13"
"2559","5d10Soil","5d10","Soil",2015-11-29,333,6,"PLACOR",60,11.3,"EU01","Europe--Vlieland, The Netherlands","Europe",1,"11.3_60","PLACOR_EU01"
"2561","5d11Soil","5d11","Soil",2015-11-29,333,6,"PLACOR",60,11.3,"EU04","Europe--Vlieland, The Netherlands","Europe",1,"11.3_60","PLACOR_EU04"
"2585","5d3Soil","5d3","Soil",2015-12-05,339,12,"PLALAN",30,11.3,"US03","USA--Walden","USA",1,"11.3_30","PLALAN_US03"
"2587","5d4Soil","5d4","Soil",NA,NA,NA,"PLALAN",30,11.3,"US25","USA--Arnold Arboretum ","USA",0,"11.3_30","PLALAN_US25"
"2588","5d5Soil","5d5","Soil",2015-12-03,337,10,"PLALAN",30,11.3,"US27","USA--Arnold Arboretum ","USA",1,"11.3_30","PLALAN_US27"
