daysfromstart,sp,strat,temp,individual,location,origin,germinated,uniqind
NA,PLAMAJ,30,25.3,EU01,"Europe--Schaan, Liechtenstein",Europe,0,PLAMAJ_EU01
12,PLALAN,30,25.3,EU28,"Europe--Zell Am See, Austria",Europe,1,PLALAN_EU28
6,PLALAN,30,25.3,EU39,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU39
18,PLALAN,30,25.3,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
6,PLALAN,30,25.3,EU49,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU49
NA,CHEMAJ,30,25.3,EU29,"Europe--Grenoble, France",Europe,0,CHEMAJ_EU29
14,RUMCRI,30,25.3,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
10,TAROFF,30,25.3,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
NA,TAROFF,30,25.3,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
8,PLAMAJ,30,25.3,US25,USA--Walden,USA,1,PLAMAJ_US25
10,PLAMAJ,30,25.3,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
14,PLALAN,30,25.3,EU29,"Europe--Zell Am See, Austria",Europe,1,PLALAN_EU29
12,PLALAN,30,25.3,EU40,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU40
12,PLALAN,30,25.3,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
6,PLALAN,30,25.3,EU52,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU52
24,CHEMAJ,30,25.3,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
NA,RUMCRI,30,25.3,EU05,"Europe--Grenoble, France",Europe,0,RUMCRI_EU05
8,TAROFF,30,25.3,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
10,TAROFF,30,25.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
NA,PLAMAJ,30,25.3,US25,USA--Walden,USA,0,PLAMAJ_US25
10,PLAMAJ,30,25.3,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,25.3,EU34,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU34
12,PLALAN,30,25.3,EU41,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU41
14,PLALAN,30,25.3,EU42,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU42
10,PLALAN,30,25.3,EU53,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU53
16,RUMCRI,30,25.3,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
