"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Crown depth","Dataset reference (citation)","Latitude","Longitude","Mean annual temperature (MAT)","Plant height vegetative","Reference DOI (digital object identifier)","Stem diameter at base (basal diameter)","Stem diameter at breast height (1.3 m"
"89","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008259,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.029","10.1007/s00442-007-0722-2","0.00113",NA
"90","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008260,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.046","10.1007/s00442-007-0722-2","0.00085",NA
"91","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008261,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.014","10.1007/s00442-007-0722-2","0.00085",NA
"92","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008262,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.047","10.1007/s00442-007-0722-2","0.0013",NA
"93","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008263,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.032","10.1007/s00442-007-0722-2","0.00092",NA
"94","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008264,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.023","10.1007/s00442-007-0722-2","0.00084",NA
"95","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008265,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.027","10.1007/s00442-007-0722-2","0.00042",NA
"96","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008266,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.032","10.1007/s00442-007-0722-2","0.00095",NA
"97","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008267,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.051","10.1007/s00442-007-0722-2","0.00144",NA
"98","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008385,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.042","10.1007/s00442-007-0722-2","0.00214",NA
"99","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008386,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.032","10.1007/s00442-007-0722-2","0.00164",NA
"100","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008387,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.036","10.1007/s00442-007-0722-2","0.00216",NA
"101","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008388,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.052","10.1007/s00442-007-0722-2","0.0013",NA
"102","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008389,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.04","10.1007/s00442-007-0722-2","0.00163",NA
"103","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008390,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.058","10.1007/s00442-007-0722-2","0.00296",NA
"104","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008391,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.037","10.1007/s00442-007-0722-2","0.00164",NA
"105","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008392,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.054","10.1007/s00442-007-0722-2","0.00285",NA
"106","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008393,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.034","10.1007/s00442-007-0722-2","0.00183",NA
"107","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008394,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.047","10.1007/s00442-007-0722-2","0.00226",NA
"108","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008395,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.036","10.1007/s00442-007-0722-2","0.00019",NA
"109","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008396,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.037","10.1007/s00442-007-0722-2","0.00187",NA
"110","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008397,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.044","10.1007/s00442-007-0722-2","0.00141",NA
"111","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008398,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.046","10.1007/s00442-007-0722-2","0.00127",NA
"112","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008399,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.091","10.1007/s00442-007-0722-2","0.00458",NA
"113","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008400,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.034","10.1007/s00442-007-0722-2","0.00145",NA
"114","Falster","Daniel",431,"BAAD: a biomass and allometry database for woody plants","Acer rubrum",3008401,NA,"http://doi.org/10.1007/s00442-007-0722-2","43.66146","-79.40006",NA,"0.034","10.1007/s00442-007-0722-2","0.00145",NA
