"LastName","FirstName","SpeciesName","ObservationID","DatasetID","Dataset","Altitude","Canopy position: sun vers. Shade leaf qualifier","Exposition","Latitude","Longitude","Plant developmental status / plant age / maturity / plant life stage","Trait","value"
"Lukes","Petr","Picea abies",2471499,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","53.73064727"
"Lukes","Petr","Picea abies",2471500,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","55.27222605"
"Lukes","Petr","Picea abies",2471501,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","juvenile","LDMC","19.70458831"
"Lukes","Petr","Picea abies",2471502,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","50.88138083"
"Lukes","Petr","Picea abies",2471503,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","50.27477734"
"Lukes","Petr","Picea abies",2471504,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","juvenile","LDMC","16.48554062"
"Lukes","Petr","Picea abies",2471505,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","50.67780873"
"Lukes","Petr","Picea abies",2471506,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","54.86891386"
"Lukes","Petr","Picea abies",2471507,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","juvenile","LDMC","16.72828096"
"Lukes","Petr","Picea abies",2471508,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","53.58412877"
"Lukes","Petr","Picea abies",2471509,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","170","Canopy position","natural environment","61.860709","24.308844","mature","LDMC","46.56660413"
"Lukes","Petr","Picea abies",2471510,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","juvenile","LDMC","23.63471971"
"Lukes","Petr","Picea abies",2471511,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","LDMC","47.89086687"
"Lukes","Petr","Picea abies",2471512,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","LDMC","50.12156349"
"Lukes","Petr","Picea abies",2471513,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","juvenile","LDMC","25.52867213"
"Lukes","Petr","Picea abies",2471514,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","LDMC","49.57741413"
"Lukes","Petr","Picea abies",2471515,311,"Structural and biochemical leaf traits of boreal tree species in Finland ","169","Canopy position","natural environment","61.861547","24.312136","mature","LDMC","50.66691029"
