Tray location,Substrate,Germ Date (NA=did not germinate)
3c26,Filter,NA
4c26,Filter,12/9/2015
9g1,Filter,NA
10h1,Filter,NA
11h1,Filter,NA
12h1,Filter,12/11/2015
1d26,Filter,NA
2d26,Filter,NA
3d26,Filter,NA
4d26,Filter,NA
9h1,Filter,NA
10a2,Filter,NA
11a2,Filter,12/7/2015
12a2,Filter,12/11/2015
1e26,Filter,NA
2e26,Filter,NA
3e26,Filter,NA
4e26,Filter,12/11/2015
9a2,Filter,NA
10b2,Filter,NA
11b2,Filter,12/7/2015
12b2,Filter,NA
1f26,Filter,NA
2f26,Filter,12/9/2015
3f26,Filter,NA
4f26,Filter,NA
9b2,Filter,NA
10c2,Filter,12/9/2015
11c2,Filter,NA
12c2,Filter,NA
1g26,Filter,NA
2g26,Filter,NA
3g26,Filter,NA
4g26,Filter,NA
9c2,Filter,12/13/2015
10d2,Filter,NA
11d2,Filter,NA
12d2,Filter,NA
1h26,Filter,NA
2h26,Filter,NA
3h26,Filter,12/9/2015
4h26,Filter,NA
9d2,Filter,NA
10e2A,Filter,NA
10e2B,Filter,NA
10e2C,Filter,NA
10e2D,Filter,NA
10e2E,Filter,NA
11e2A,Filter,NA
11e2B,Filter,NA
11e2C,Filter,NA
11e2D,Filter,NA
11e2E,Filter,NA
12e2A,Filter,12/13/2015
12e2B,Filter,NA
12e2C,Filter,NA
12e2D,Filter,12/7/2015
12e2E,Filter,12/7/2015
1a27,Filter,NA
1b27,Filter,NA
1c27,Filter,NA
1d27,Filter,NA
1e27,Filter,NA
2a27,Filter,NA
2b27,Filter,NA
2c27,Filter,NA
2d27,Filter,12/7/2015
2e27,Filter,NA
3a27,Filter,NA
3b27,Filter,NA
3d27,Filter,NA
3e27,Filter,NA
4a27,Filter,NA
4b27,Filter,NA
4c27,Filter,12/1/2015
4d27,Filter,NA
4e27,Filter,12/9/2015
7c27,Filter,11/27/2015
9e2A,Filter,NA
9e2B,Filter,NA
9e2C,Filter,NA
9e2D,Filter,NA
9e2E,Filter,NA
10f2A,Filter,12/9/2015
10f2B,Filter,NA
10f2C,Filter,NA
10f2D,Filter,NA
10f2E,Filter,NA
11f2A,Filter,12/7/2015
11f2B,Filter,NA
11f2C,Filter,NA
11f2D,Filter,NA
11f2E,Filter,NA
12f2A,Filter,12/7/2015
12f2B,Filter,12/11/2015
12f2C,Filter,12/11/2015
12f2D,Filter,NA
12f2E,Filter,NA
1a28,Filter,NA
1b28,Filter,NA
1f27,Filter,NA
1g27,Filter,NA
1h27,Filter,NA
2a28,Filter,NA
2b28,Filter,12/13/2015
2f27,Filter,NA
2g27,Filter,NA
2h27,Filter,NA
3a28,Filter,12/7/2015
3b28,Filter,NA
3f27,Filter,12/7/2015
3g27,Filter,12/9/2015
3h27,Filter,NA
4a28,Filter,NA
4b28,Filter,NA
4f27,Filter,NA
4g27,Filter,12/13/2015
4h27,Filter,NA
9f2A,Filter,NA
9f2B,Filter,NA
9f2C,Filter,NA
9f2D,Filter,NA
9f2E,Filter,NA
10g2,Filter,NA
11g2,Filter,12/13/2015
12g2,Filter,12/11/2015
1c28,Filter,NA
1d28,Filter,NA
1e28,Filter,NA
1f28,Filter,NA
1g28,Filter,NA
2c28,Filter,NA
2d28,Filter,NA
2e28,Filter,NA
2f28,Filter,NA
2g28,Filter,12/11/2015
3c28,Filter,NA
3d28,Filter,NA
3e28,Filter,NA
3f28,Filter,12/13/2015
3g28,Filter,12/13/2015
4c28,Filter,NA
4d28,Filter,12/11/2015
4e28,Filter,NA
4f28,Filter,12/7/2015
4g28,Filter,NA
9g2,Filter,NA
10h2,Filter,12/9/2015
11h2,Filter,NA
12h2,Filter,12/7/2015
1a29,Filter,NA
1b29,Filter,NA
1h28,Filter,NA
2a29,Filter,NA
2b29,Filter,12/11/2015
2h28,Filter,12/11/2015
3a29,Filter,NA
3b29,Filter,NA
3h28,Filter,12/7/2015
4a29,Filter,NA
4b29,Filter,12/13/2015
4h28,Filter,NA
9h2,Filter,NA
10a3,Filter,NA
11a3,Filter,12/7/2015
12a3,Filter,12/7/2015
1c29,Filter,NA
1d29,Filter,NA
2c29,Filter,NA
2d29,Filter,NA
3c29,Filter,NA
3d29,Filter,12/1/2015
4c29,Filter,NA
4d29,Filter,12/9/2015
9a3,Filter,NA
10b3,Filter,NA
11b3,Filter,12/7/2015
12b3,Filter,12/7/2015
1e29,Filter,NA
2e29,Filter,NA
3e29,Filter,NA
4e29,Filter,NA
9b3,Filter,NA
10c3,Filter,NA
11c3,Filter,NA
12c3,Filter,NA
1f29,Filter,NA
2f29,Filter,NA
3f29,Filter,12/9/2015
4f29,Filter,NA
9c3,Filter,NA
10d3,Filter,NA
11d3,Filter,NA
12d3,Filter,NA
1g29,Filter,NA
2g29,Filter,NA
3g29,Filter,12/7/2015
4g29,Filter,12/13/2015
9d3,Filter,NA
10e3,Filter,NA
11e3,Filter,12/7/2015
12e3,Filter,12/9/2015
1h29,Filter,NA
2h29,Filter,12/13/2015
3h29,Filter,12/7/2015
4h29,Filter,NA
9e3,Filter,NA
10f3,Filter,NA
11f3,Filter,12/9/2015
12f3,Filter,12/7/2015
5a1,Filter,NA
6a1,Filter,NA
7a1,Filter,11/29/2015
8a1,Filter,NA
9f3,Filter,NA
1h6,Filter,NA
2h6,Filter,NA
3h6,Filter,NA
4h6,Filter,NA
5g17,Filter,NA
6g17,Filter,NA
7g17,Filter,12/3/2015
8g17,Filter,NA
1a7,Filter,NA
2a7,Filter,12/7/2015
3a7,Filter,NA
4a7,Filter,NA
5h17,Filter,NA
6h17,Filter,NA
7h17,Filter,12/3/2015
8h17,Filter,NA
1b7,Filter,NA
2b7,Filter,12/11/2015
3b7,Filter,NA
4b7,Filter,NA
5a18,Filter,12/9/2015
6a18,Filter,NA
7a18,Filter,12/3/2015
8a18,Filter,12/9/2015
1c7,Filter,NA
2c7,Filter,NA
3c7,Filter,NA
4c7,Filter,NA
5b18,Filter,NA
6b18,Filter,12/3/2015
7b18,Filter,12/3/2015
8b18,Filter,12/9/2015
1d7,Filter,NA
2d7,Filter,NA
3d7,Filter,NA
4d7,Filter,NA
5c18,Filter,12/9/2015
6c18,Filter,NA
7c18,Filter,12/3/2015
8c18,Filter,12/9/2015
1a8,Filter,12/9/2015
1e7,Filter,NA
1f7,Filter,NA
1g7,Filter,NA
1h7,Filter,NA
2a8,Filter,12/5/2015
2e7,Filter,12/11/2015
2f7,Filter,NA
2g7,Filter,12/11/2015
2h7,Filter,NA
3a8,Filter,NA
3e7,Filter,NA
3f7,Filter,NA
3g7,Filter,NA
3h7,Filter,12/13/2015
4a8,Filter,NA
4e7,Filter,NA
4f7,Filter,NA
4g7,Filter,NA
4h7,Filter,NA
5d18,Filter,NA
5e18,Filter,NA
5f18,Filter,NA
5g18,Filter,NA
6d18,Filter,12/9/2015
6e18,Filter,NA
6f18,Filter,12/13/2015
6g18,Filter,12/9/2015
7d18,Filter,11/29/2015
7e18,Filter,12/3/2015
7f18,Filter,12/5/2015
7g18,Filter,12/3/2015
8d18,Filter,NA
8e18,Filter,12/9/2015
8f18,Filter,12/9/2015
8g18,Filter,NA
5b26,Filter,12/1/2015
5d26,Filter,11/27/2015
6b26,Filter,12/1/2015
6d26,Filter,12/5/2015
7b26,Filter,11/27/2015
7d26,Filter,11/27/2015
8b26,Filter,11/27/2015
8d26,Filter,11/27/2015
5e26,Filter,11/29/2015
6c27,Filter,12/3/2015
6c27,Filter,12/3/2015
6e26,Filter,12/5/2015
7c27,Filter,11/27/2015
7e26,Filter,12/1/2015
8c27,Filter,11/27/2015
8e26,Filter,11/27/2015
5d27,Filter,NA
5f26,Filter,11/29/2015
6d27,Filter,12/5/2015
6f26,Filter,12/5/2015
7d27,Filter,11/27/2015
7f26,Filter,11/27/2015
8d27,Filter,11/27/2015
8f26,Filter,11/29/2015
5e27,Filter,NA
5g26,Filter,12/3/2015
6e27,Filter,12/1/2015
6g26,Filter,12/5/2015
7e27,Filter,11/27/2015
7g26,Filter,12/1/2015
8e27,Filter,11/29/2015
8g26,Filter,11/27/2015
5f27,Filter,12/5/2015
6f27,Filter,12/1/2015
7f27,Filter,11/27/2015
8f27,Filter,11/29/2015
10e7,Filter,NA
11e7,Filter,NA
12e7,Filter,12/7/2015
5a5,Filter,NA
6a5,Filter,12/3/2015
7a5,Filter,NA
8a5,Filter,NA
9e7,Filter,NA
10f7,Filter,NA
5b5,Filter,NA
6b5,Filter,12/3/2015
9f7,Filter,NA
1a24,Filter,12/3/2015
1h23,Filter,NA
2a24,Filter,12/3/2015
2h23,Filter,12/1/2015
3a24,Filter,12/3/2015
3h23,Filter,12/1/2015
4a24,Filter,12/1/2015
4h23,Filter,11/29/2015
5g27,Filter,NA
5h27,Filter,NA
6g27,Filter,12/1/2015
6h27,Filter,12/1/2015
7g27,Filter,11/29/2015
7h27,Filter,11/29/2015
8g27,Filter,NA
8h27,Filter,NA
1b24,Filter,NA
2b24,Filter,12/3/2015
3b24,Filter,11/29/2015
4b24,Filter,NA
5a28,Filter,12/3/2015
6a28,Filter,NA
7a28,Filter,11/29/2015
8a28,Filter,11/29/2015
1c24,Filter,12/3/2015
1d24,Filter,NA
2c24,Filter,12/3/2015
2d24,Filter,NA
3c24,Filter,12/1/2015
3d24,Filter,12/1/2015
4c24,Filter,11/29/2015
4d24,Filter,NA
5b28,Filter,NA
5c28,Filter,NA
6b28,Filter,12/3/2015
6c28,Filter,12/5/2015
7b28,Filter,NA
7c28,Filter,NA
8b28,Filter,11/29/2015
8c28,Filter,11/29/2015
1e24,Filter,11/29/2015
1f24,Filter,12/1/2015
2e24,Filter,11/29/2015
2f24,Filter,12/1/2015
3e24,Filter,11/29/2015
3f24,Filter,12/1/2015
4e24,Filter,12/3/2015
4f24,Filter,12/5/2015
5d28A,Filter,11/29/2015
5d28B,Filter,12/3/2015
5d28C,Filter,12/3/2015
6d28A,Filter,12/3/2015
6d28B,Filter,NA
6d28C,Filter,NA
7d28A,Filter,11/29/2015
7d28B,Filter,12/3/2015
7d28C,Filter,12/3/2015
8d28A,Filter,NA
8d28B,Filter,NA
8d28C,Filter,NA
5e28,Filter,NA
6e28,Filter,12/1/2015
7e28,Filter,12/3/2015
8e28,Filter,11/27/2015
1g24,Filter,12/3/2015
2g24,Filter,12/1/2015
3g24,Filter,12/1/2015
4g24,Filter,11/29/2015
5f28,Filter,NA
6f28,Filter,12/1/2015
7f28,Filter,11/29/2015
8f28,Filter,12/1/2015
1h27,Filter,NA
2h27,Filter,NA
5g28,Filter,NA
6g28,Filter,12/1/2015
7g28,Filter,11/29/2015
8g28,Filter,12/1/2015
8h27,Filter,11/29/2015
5a27,Filter,12/3/2015
5h28,Filter,NA
6a27,Filter,NA
6h28,Filter,12/1/2015
7a27,Filter,11/27/2015
7h28,Filter,NA
8a27,Filter,NA
8h28,Filter,12/1/2015
5a29,Filter,11/29/2015
5b27,Filter,12/1/2015
6a29,Filter,11/27/2015
6b27,Filter,12/1/2015
7a29,Filter,NA
7b27,Filter,11/27/2015
8a29,Filter,11/29/2015
8b27,Filter,11/27/2015
1b25,Filter,11/29/2015
1c25,Filter,11/29/2015
1d25,Filter,12/1/2015
1h24,Filter,12/1/2015
2a25,Filter,11/29/2015
2b25,Filter,11/29/2015
2c25,Filter,11/29/2015
2d25,Filter,11/29/2015
2h24,Filter,12/1/2015
3a25,Filter,12/3/2015
3b25,Filter,12/3/2015
3c25,Filter,12/5/2015
3d25,Filter,12/1/2015
3h24,Filter,11/29/2015
4a25,Filter,11/29/2015
4b25,Filter,11/29/2015
4c25,Filter,11/29/2015
4d25,Filter,11/27/2015
4h24,Filter,11/29/2015
5b29,Filter,11/27/2015
6b29,Filter,11/27/2015
7b29,Filter,NA
8b29,Filter,11/29/2015
1a25,Filter,12/5/2015
5c29,Filter,11/27/2015
6c29,Filter,11/27/2015
7c29,Filter,NA
8c29,Filter,11/29/2015
1e25,Filter,12/1/2015
2e25,Filter,11/29/2015
3e25,Filter,12/1/2015
4e25,Filter,11/29/2015
5d29,Filter,11/27/2015
6d29,Filter,11/27/2015
7d29,Filter,NA
8d29,Filter,11/29/2015
1f25,Filter,12/5/2015
2f25,Filter,12/1/2015
3f25,Filter,NA
4f25,Filter,11/29/2015
5e29,Filter,11/27/2015
6e29,Filter,11/27/2015
7e29,Filter,NA
8e29,Filter,11/29/2015
5f29,Filter,11/27/2015
6f29,Filter,11/27/2015
7f29,Filter,NA
8f29,Filter,11/29/2015
5g29,Filter,12/1/2015
6g29,Filter,NA
7g29,Filter,NA
8g29,Filter,11/29/2015
5h29,Filter,12/1/2015
6h29,Filter,NA
7h29,Filter,NA
8h29,Filter,11/29/2015
10a1,Filter,11/27/2015
11a1,Filter,11/27/2015
12a1,Filter,11/27/2015
9a1,Filter,11/27/2015
10b1,Filter,11/27/2015
11b1,Filter,11/27/2015
12b1,Filter,11/27/2015
9b1,Filter,11/27/2015
1c11,Filter,NA
1d11,Filter,12/3/2015
1e11,Filter,12/3/2015
2c11,Filter,11/29/2015
2d11,Filter,12/1/2015
2e11,Filter,12/1/2015
3c11,Filter,NA
3d11,Filter,NA
3e11,Filter,11/29/2015
4c11,Filter,NA
4d11,Filter,NA
4e11,Filter,11/29/2015
5a22,Filter,11/29/2015
5b22,Filter,12/1/2015
5c22,Filter,12/1/2015
6a22,Filter,12/1/2015
6b22,Filter,12/1/2015
6c22,Filter,12/1/2015
7a22,Filter,11/27/2015
7b22,Filter,11/27/2015
7c22,Filter,11/27/2015
8a22,Filter,11/27/2015
8b22,Filter,11/29/2015
8c22,Filter,11/27/2015
1f11,Filter,NA
2f11,Filter,12/1/2015
3f11,Filter,NA
4f11,Filter,11/29/2015
5d22,Filter,11/29/2015
6d22,Filter,12/1/2015
7d22,Filter,11/27/2015
8d22,Filter,11/27/2015
1g11,Filter,12/3/2015
1h11,Filter,12/1/2015
2g11,Filter,12/1/2015
2h11,Filter,12/1/2015
3g1,Filter,NA
3h11,Filter,11/29/2015
4g11,Filter,11/29/2015
4h11,Filter,11/29/2015
5e22,Filter,11/29/2015
5f22,Filter,12/1/2015
6e22,Filter,12/1/2015
6f22,Filter,12/1/2015
7e22,Filter,11/27/2015
7f22,Filter,11/27/2015
8e22,Filter,11/27/2015
8f22,Filter,11/29/2015
1a12,Filter,NA
2a12,Filter,12/5/2015
3a12,Filter,12/5/2015
4a12,Filter,NA
5a23,Filter,12/1/2015
5g22,Filter,12/1/2015
5h22,Filter,12/1/2015
6a23,Filter,12/3/2015
6g22,Filter,12/1/2015
6h22,Filter,12/1/2015
7a23,Filter,11/27/2015
7g22,Filter,11/27/2015
7h22,Filter,11/27/2015
8a23,Filter,11/27/2015
8g22,Filter,11/29/2015
8h22,Filter,11/29/2015
1b12,Filter,NA
1c12,Filter,NA
2b12,Filter,12/1/2015
2c12,Filter,NA
3b12,Filter,NA
3c12,Filter,12/5/2015
4b12,Filter,NA
4c12,Filter,NA
1b16,Filter,12/1/2015
2b16,Filter,11/29/2015
3b16,Filter,11/27/2015
4b16,Filter,NA
5e25,Filter,12/3/2015
6e25,Filter,12/1/2015
7e25,Filter,11/29/2015
8e25,Filter,11/27/2015
1c16,Filter,12/3/2015
2c16,Filter,11/29/2015
3c16,Filter,11/27/2015
4c16,Filter,11/27/2015
5f25,Filter,12/3/2015
6f25,Filter,12/1/2015
7f25,Filter,11/27/2015
8f25,Filter,11/27/2015
1d16,Filter,12/1/2015
2d16,Filter,11/29/2015
3d16,Filter,11/29/2015
4d16,Filter,11/27/2015
5g25,Filter,12/5/2015
6g25,Filter,12/1/2015
7g25,Filter,11/29/2015
8g25,Filter,11/27/2015
1e16,Filter,12/1/2015
2e16,Filter,11/29/2015
3e16,Filter,11/27/2015
4e16,Filter,11/27/2015
5h25,Filter,NA
6h25,Filter,12/1/2015
7h25,Filter,11/27/2015
8h25,Filter,11/27/2015
5a26,Filter,NA
5c26,Filter,NA
6a26,Filter,12/3/2015
6c26,Filter,12/5/2015
7a26,Filter,12/1/2015
7c26,Filter,11/27/2015
8a26,Filter,11/27/2015
8c26,Filter,11/27/2015
1a17,Filter,11/29/2015
2a17,Filter,NA
3a17,Filter,NA
4a17,Filter,NA
1b17,Filter,NA
2b17,Filter,NA
3b17,Filter,NA
4b17,Filter,NA
5f10,Filter,NA
6f10,Filter,NA
7f10,Filter,NA
8f10,Filter,NA
1c17,Filter,11/29/2015
2c17,Filter,11/29/2015
3c17,Filter,12/1/2015
4c17,Filter,11/27/2015
5g10,Filter,NA
6g10,Filter,12/1/2015
7g10,Filter,11/27/2015
8g10,Filter,NA
1d17,Filter,NA
2d17,Filter,11/29/2015
3d17,Filter,NA
4d17,Filter,11/27/2015
5h10,Filter,NA
6h10,Filter,NA
7h10,Filter,12/1/2015
8h10,Filter,NA
1e17,Filter,12/1/2015
2e17,Filter,11/29/2015
3e17,Filter,12/1/2015
4e17,Filter,11/29/2015
5a11,Filter,12/1/2015
6a11,Filter,12/1/2015
7a11,Filter,11/27/2015
8a11,Filter,12/13/2015
1f17,Filter,NA
2f17,Filter,12/1/2015
3f17,Filter,NA
4f17,Filter,11/29/2015
5b11,Filter,12/1/2015
6b11,Filter,12/1/2015
7b11,Filter,11/27/2015
8b11,Filter,11/29/2015
1g17,Filter,12/5/2015
2g17,Filter,NA
3g17,Filter,NA
4g17,Filter,11/29/2015
5c11,Filter,12/5/2015
6c11,Filter,NA
7c11,Filter,11/27/2015
8c11,Filter,NA
1h17,Filter,NA
2h17,Filter,11/29/2015
3h17,Filter,NA
4h17,Filter,11/29/2015
5d11,Filter,12/3/2015
6d11,Filter,NA
7d11,Filter,NA
8d11,Filter,12/13/2015
1a18,Filter,NA
2a18,Filter,NA
3a18,Filter,NA
4a18,Filter,NA
5e11,Filter,NA
6e11,Filter,NA
7e11,Filter,11/29/2015
8e11,Filter,NA
1b18,Filter,12/1/2015
2b18,Filter,12/1/2015
3b18,Filter,NA
4b18,Filter,NA
5f11,Filter,NA
6f11,Filter,NA
7f11,Filter,NA
8f11,Filter,NA
1c18,Filter,NA
2c18,Filter,12/18/2015
3c18,Filter,NA
4c18,Filter,NA
5g11,Filter,NA
6g11,Filter,NA
7g11,Filter,NA
8g11,Filter,NA
1d18,Filter,12/3/2015
2d18,Filter,NA
3d18,Filter,NA
4d18,Filter,NA
5h11,Filter,NA
6h11,Filter,NA
7h11,Filter,NA
8h11,Filter,12/1/2015
1e18,Filter,NA
1f18,Filter,NA
2e18,Filter,12/9/2015
2f18,Filter,NA
3e18,Filter,NA
3f18,Filter,NA
4e18,Filter,NA
4f18,Filter,NA
5a12,Filter,12/3/2015
5b12,Filter,NA
6a12,Filter,12/3/2015
6b12,Filter,NA
7a12,Filter,NA
7b12,Filter,NA
8a12,Filter,NA
8b12,Filter,NA
1g18,Filter,NA
2g18,Filter,NA
3g18,Filter,NA
4g18,Filter,NA
5c12,Filter,12/7/2015
6c12,Filter,12/5/2015
7c12,Filter,NA
8c12,Filter,12/1/2015
1h18,Filter,NA
2h18,Filter,NA
3h18,Filter,NA
4h18,Filter,NA
5d12,Filter,NA
6d12,Filter,12/3/2015
7d12,Filter,11/29/2015
8d12,Filter,NA
1a19,Filter,NA
2a19,Filter,NA
3a19,Filter,NA
4a19,Filter,NA
5e12,Filter,12/5/2015
6e12,Filter,12/1/2015
7e12,Filter,NA
8e12,Filter,NA
1b19,Filter,NA
2b19,Filter,NA
3b19,Filter,NA
4b19,Filter,NA
5f12,Filter,NA
6f12,Filter,12/1/2015
7f12,Filter,11/27/2015
8f12,Filter,NA
1c19,Filter,12/1/2015
2c19,Filter,NA
3c19,Filter,12/1/2015
4c19,Filter,NA
5g12,Filter,NA
6g12,Filter,12/3/2015
7g12,Filter,11/27/2015
8g12,Filter,12/3/2015
1d19,Filter,NA
2d19,Filter,12/1/2015
3d19,Filter,NA
4d19,Filter,NA
5h12,Filter,12/3/2015
6h12,Filter,12/3/2015
7h12,Filter,12/1/2015
8h12,Filter,11/27/2015
1e19,Filter,12/3/2015
2e19,Filter,NA
3e19,Filter,12/3/2015
4e19,Filter,12/3/2015
5a13,Filter,NA
6a13,Filter,12/3/2015
7a13,Filter,NA
8a13,Filter,NA
1f19,Filter,NA
2f19,Filter,NA
3f19,Filter,NA
4f19,Filter,NA
5b13,Filter,NA
6b13,Filter,12/3/2015
7b13,Filter,11/27/2015
8b13,Filter,12/1/2015
1g19,Filter,NA
2g19,Filter,NA
3g19,Filter,NA
4g19,Filter,NA
5c13,Filter,NA
6c13,Filter,NA
7c13,Filter,NA
8c13,Filter,NA
1h19,Filter,NA
2h19,Filter,12/3/2015
3h19,Filter,NA
4h19,Filter,NA
5d13,Filter,NA
6d13,Filter,12/1/2015
7d13,Filter,12/5/2015
8d13,Filter,11/27/2015
1a20,Filter,NA
2a20,Filter,11/29/2015
3a20,Filter,12/1/2015
4a20,Filter,NA
5e13,Filter,12/3/2015
6e13,Filter,12/3/2015
7e13,Filter,NA
8e13,Filter,11/27/2015
1b20,Filter,12/1/2015
2b20,Filter,12/1/2015
3b20,Filter,NA
4b20,Filter,NA
5f13,Filter,NA
6f13,Filter,12/1/2015
7f13,Filter,11/27/2015
8f13,Filter,12/1/2015
1c20,Filter,12/1/2015
2c20,Filter,11/29/2015
3c20,Filter,11/27/2015
4c20,Filter,11/29/2015
5f13,Filter,NA
6g13,Filter,12/1/2015
7g13,Filter,11/27/2015
8g13,Filter,11/29/2015
1d20,Filter,12/1/2015
2d20,Filter,11/29/2015
3d20,Filter,NA
4d20,Filter,12/1/2015
5g13,Filter,12/1/2015
6h13,Filter,12/3/2015
7h13,Filter,11/27/2015
8h13,Filter,12/1/2015
1e20,Filter,11/29/2015
2e20,Filter,12/1/2015
3e20,Filter,11/29/2015
4e20,Filter,11/27/2015
5h13,Filter,NA
6a14,Filter,12/1/2015
7a14,Filter,11/27/2015
8a14,Filter,12/3/2015
1f20,Filter,12/3/2015
2f20,Filter,12/3/2015
3f20,Filter,11/27/2015
4f20,Filter,12/1/2015
5a14,Filter,12/1/2015
6b14,Filter,12/3/2015
7b14,Filter,12/3/2015
8b14,Filter,NA
1g20,Filter,11/29/2015
2g20,Filter,11/27/2015
3g20,Filter,12/1/2015
4g20,Filter,11/27/2015
5b14,Filter,NA
6c14,Filter,11/29/2015
7c14,Filter,11/27/2015
8c14,Filter,11/27/2015
1h20,Filter,NA
2h20,Filter,11/29/2015
3h20,Filter,11/29/2015
4h20,Filter,11/27/2015
5c14,Filter,12/1/2015
6d14,Filter,12/1/2015
7d14,Filter,11/27/2015
8d14,Filter,11/27/2015
1a21,Filter,NA
2a21,Filter,11/27/2015
3a21,Filter,11/27/2015
4a21,Filter,NA
5d14,Filter,12/1/2015
6e14,Filter,NA
7e14,Filter,11/27/2015
8e14,Filter,11/27/2015
1b21,Filter,NA
1c21,Filter,NA
2b21,Filter,NA
2c21,Filter,11/29/2015
3b21,Filter,12/3/2015
3c21,Filter,12/3/2015
4b21,Filter,NA
4c21,Filter,11/27/2015
5e14,Filter,12/1/2015
5f14,Filter,NA
6f14,Filter,12/3/2015
6g14,Filter,NA
7f14,Filter,11/27/2015
7g14,Filter,11/29/2015
8f14,Filter,11/27/2015
8g14,Filter,11/27/2015
1d21,Filter,12/3/2015
2d21,Filter,11/29/2015
3d21,Filter,12/3/2015
4d21,Filter,11/27/2015
5h14,Filter,NA
6h14,Filter,12/1/2015
7h14,Filter,11/27/2015
8h14,Filter,11/27/2015
1e21,Filter,12/1/2015
2e21,Filter,11/29/2015
3e21,Filter,NA
4e21,Filter,11/27/2015
5a15,Filter,12/1/2015
6a15,Filter,12/3/2015
7a15,Filter,11/29/2015
8a15,Filter,11/27/2015
1f21,Filter,11/29/2015
2f21,Filter,NA
3f21,Filter,12/3/2015
4f21,Filter,11/27/2015
5b15,Filter,12/3/2015
6b15,Filter,NA
7b15,Filter,11/29/2015
8b15,Filter,11/29/2015
1g21,Filter,11/29/2015
2g21,Filter,11/29/2015
3g21,Filter,12/3/2015
4g21,Filter,NA
5c15,Filter,12/3/2015
6c15,Filter,12/1/2015
7c15,Filter,11/27/2015
8c15,Filter,11/27/2015
1h21,Filter,11/29/2015
2h21,Filter,12/1/2015
3h21,Filter,11/29/2015
4h21,Filter,NA
5d15,Filter,12/1/2015
6d15,Filter,12/1/2015
7d15,Filter,11/29/2015
8d15,Filter,11/27/2015
1a22,Filter,11/29/2015
1b22,Filter,11/29/2015
2a22,Filter,11/29/2015
2b22,Filter,11/29/2015
3a22,Filter,11/27/2015
3b22,Filter,11/27/2015
4a22,Filter,11/27/2015
4b22,Filter,11/27/2015
5e15A,Filter,12/1/2015
5e15B,Filter,NA
6e15A,Filter,12/1/2015
6e15B,Filter,NA
7e15A,Filter,11/27/2015
7e15B,Filter,NA
8e15A,Filter,11/27/2015
8e15B,Filter,11/27/2015
1c22,Filter,11/29/2015
2c22,Filter,11/27/2015
3c22,Filter,11/29/2015
4c22,Filter,11/27/2015
5f15,Filter,12/3/2015
6f15,Filter,12/1/2015
7f15,Filter,11/27/2015
8f15,Filter,11/27/2015
1d22,Filter,11/29/2015
2d22,Filter,11/29/2015
3d22,Filter,NA
4d22,Filter,11/29/2015
5g15,Filter,12/1/2015
6g15,Filter,12/1/2015
7g15,Filter,11/27/2015
8g15,Filter,11/27/2015
1e22,Filter,11/29/2015
2e22,Filter,11/27/2015
3e22,Filter,11/29/2015
4e22,Filter,11/29/2015
5h15,Filter,12/1/2015
6h15,Filter,12/3/2015
7h15,Filter,11/27/2015
8h15,Filter,11/27/2015
1f22,Filter,NA
2f22,Filter,11/29/2015
3f22,Filter,12/1/2015
4f22,Filter,NA
5a16,Filter,NA
6a16,Filter,12/5/2015
7a16,Filter,11/27/2015
8a16,Filter,NA
1g22,Filter,NA
2g22,Filter,11/29/2015
3g22,Filter,12/1/2015
4g22,Filter,11/29/2015
5b16,Filter,12/3/2015
6b16,Filter,12/3/2015
7b16,Filter,NA
8b16,Filter,11/29/2015
1a23,Filter,12/1/2015
1h22,Filter,12/1/2015
2a23,Filter,12/3/2015
2h22,Filter,12/7/2015
3a23,Filter,12/1/2015
3h22,Filter,NA
4a23,Filter,11/29/2015
4h22,Filter,NA
5c16,Filter,12/5/2015
6c16,Filter,12/5/2015
7c16,Filter,11/29/2015
8c16,Filter,11/29/2015
1b23,Filter,12/1/2015
2b23,Filter,11/29/2015
3b23,Filter,11/29/2015
4b23,Filter,11/27/2015
5d16,Filter,12/1/2015
6d16,Filter,12/1/2015
7d16,Filter,11/29/2015
8d16,Filter,11/27/2015
1c23,Filter,12/3/2015
2c23,Filter,11/29/2015
3c23,Filter,12/1/2015
4c23,Filter,11/27/2015
5e16,Filter,NA
6e16,Filter,12/1/2015
7e16,Filter,NA
8e16,Filter,11/27/2015
1d23,Filter,11/29/2015
2d23,Filter,11/29/2015
3d23,Filter,12/1/2015
4d23,Filter,11/27/2015
5f16,Filter,12/5/2015
6f16,Filter,12/3/2015
7f16,Filter,11/29/2015
8f16,Filter,11/27/2015
1e23,Filter,11/29/2015
2e23,Filter,11/29/2015
3e23,Filter,11/27/2015
4e23,Filter,11/27/2015
5g16,Filter,NA
6g16,Filter,12/1/2015
7g16,Filter,11/29/2015
8g16,Filter,11/27/2015
1f23,Filter,NA
2f23,Filter,11/29/2015
3f23,Filter,11/27/2015
4f23,Filter,11/29/2015
5h16,Filter,12/3/2015
6h16,Filter,12/1/2015
7h16,Filter,11/29/2015
8h16,Filter,11/27/2015
1g23,Filter,12/1/2015
2g23,Filter,12/1/2015
3g23,Filter,11/27/2015
4g23,Filter,NA
5a17,Filter,NA
6a17,Filter,NA
7a17,Filter,11/29/2015
8a17,Filter,NA
1c2,Filter,NA
2c2,Filter,NA
3c2,Filter,NA
4c2,Filter,NA
5d6,Filter,NA
