"","x","y","GDD","GDD.lastfrost","DayLastFrost","MeanTmins","SDev.Tmins","Mean.Chill.Utah","Mean.Chill.Portions","year","ID","weights"
"155",21.125,39.875,92.3999923467636,0,108,1.39744679178012,6.72656708075184,1685.5,96.0462757796798,1997,2,1.79167621309992
"156",21.375,39.875,169.679989278316,0,36,3.4007446194028,6.40720202080514,1991,98.3702181568562,1997,3,1.79167621309992
"157",21.125,39.625,95.8599920459092,0,108,1.51936168261269,6.66968620820012,1779,98.0300853946344,1997,4,1.79595226393844
"158",21.375,39.625,111.449991473928,0,107,1.77021274089496,6.63553025851112,1810,98.1760676202379,1997,5,1.79595226393844
"159",21.625,39.125,140.079990163445,0,99,2.52734038348686,6.44491038242967,2003.5,99.736428710841,1997,6,1.80443631368747
"160",21.625,38.875,158.669989747927,0,99,3.1458510079005,6.28283259842183,2057,100.835322442405,1997,7,1.80864415562071
"161",21.875,38.875,124.499990735203,0,99,2.21787230529763,6.49157686842707,1981.5,99.0945738842922,1997,8,1.80864415562071
"162",22.375,38.625,145.709990037605,0,98,2.93117016175405,6.39931442237356,2008,99.2715370559316,1997,9,1.81282910502335
"163",19.875,40.375,270.599979199469,0,NA,7.27287219219068,5.84404540566494,1731.5,92.0050916080102,1998,1,1.78305645529446
"164",21.125,39.875,83.489990087226,0,83,2.43829783234507,6.7914934698788,1273.5,88.0224935375469,1998,2,1.79167621309992
"165",21.375,39.875,216.659982640296,0,83,4.53287225367224,6.59503656045318,1548,91.8353416267395,1998,3,1.79167621309992
"166",21.125,39.625,90.1599897146225,0,83,2.58563825452423,6.73407285113678,1354.5,89.7700240236487,1998,4,1.79595226393844
"167",21.375,39.625,116.839987330139,0,83,2.913297821728,6.73200973516597,1380,89.6114202806329,1998,5,1.79595226393844
"168",21.625,39.125,189.469983695075,0,83,3.88680843820677,6.56702571916236,1603,93.3989434664072,1998,6,1.80443631368747
"169",21.625,38.875,240.869981652126,0,83,4.59914884775718,6.46400295784458,1689.5,93.1740983989719,1998,7,1.80864415562071
"170",21.875,38.875,174.929984690621,0,83,3.59904248719203,6.64743289386609,1558.5,92.4113273317267,1998,8,1.80864415562071
"171",22.375,38.625,208.16998305358,0,83,4.07787226378284,6.60195516919731,1604.5,90.739717713643,1998,9,1.81282910502335
"172",19.875,40.375,304.659979555756,0,NA,8.13319132189722,5.27423331382918,1462.5,85.5438429238253,1999,1,1.78305645529446
"173",21.125,39.875,145.229989154264,0,81,3.36329781166971,5.88537851580837,1319,82.3439420087227,1999,2,1.79167621309992
"174",21.375,39.875,255.989983996376,0,51,5.46521265836472,5.69733463181138,1412,85.7904695823201,1999,3,1.79167621309992
"175",21.125,39.625,151.489988567308,0,81,3.45148929900074,5.83091693199304,1368.5,85.4624920583026,1999,4,1.79595226393844
"176",21.375,39.625,177.11998732388,0,81,3.84223397117742,5.78752869588932,1388.5,85.9501027699439,1999,5,1.79595226393844
"177",21.625,39.125,230.509985236451,0,51,4.8346807574457,5.63346436956321,1490,90.5334665581284,1999,6,1.80443631368747
"178",21.625,38.875,269.769983017817,0,51,5.5630849964243,5.49908281992563,1570.5,87.9306158713012,1999,7,1.80864415562071
"179",21.875,38.875,211.859986100346,0,51,4.47712757394827,5.60483491422111,1468.5,90.4215125173656,1999,8,1.80864415562071
"180",22.375,38.625,229.039985492826,0,51,4.92670203204405,5.57706871207556,1494,90.1260411655791,1999,9,1.81282910502335
"181",19.875,40.375,340.669978527352,0,28,7.94351047507309,5.98222942928124,1606.5,84.9326621909439,2000,1,1.78305645529446
"182",21.125,39.875,142.879987418652,0,80,3.2175531340763,6.47324393531023,1725,99.6332336602991,2000,2,1.79167621309992
"183",21.375,39.875,292.81998071447,0,80,5.43765946749122,6.33671003202314,1811.5,94.2372765976801,2000,3,1.79167621309992
"184",21.125,39.625,145.419987361878,0,80,3.28372334530379,6.36582581247746,1762,98.5375068208304,2000,4,1.79595226393844
"185",21.375,39.625,175.139986027032,0,80,3.65499993280924,6.39478745276155,1776,98.5459092967727,2000,5,1.79595226393844
"186",21.625,39.125,221.679983869195,0,80,4.39074459715568,6.29154878680559,1794,98.3241418529332,2000,6,1.80443631368747
